                 Mean      Median    St.Dev.   95%CI_low   95%CI_upp
psi[72, 1]  0.4382155  0.41226354 0.28209058  0.02124960  0.96223871
psi[73, 1]  0.4468159  0.42169347 0.28564241  0.01751884  0.96067607
psi[74, 1]  0.4526823  0.42683861 0.28390678  0.01781155  0.96584018
psi[75, 1]  0.4406750  0.41547716 0.28198715  0.01465685  0.95750020
psi[1, 2]   0.6594416  0.69690471 0.23877536  0.15287032  0.98628171
psi[2, 2]   0.6648009  0.71018222 0.23682471  0.14631627  0.98526546
psi[3, 2]   0.4579037  0.44002008 0.28433226  0.01898383  0.96210425
psi[4, 2]   0.4803631  0.46667360 0.28685157  0.02683002  0.97779666
psi[5, 2]   0.4515389  0.43343337 0.28652123  0.01803492  0.96474275
psi[6, 2]   0.4589833  0.43774652 0.28768039  0.01705255  0.97294321
psi[7, 2]   0.4594163  0.44641106 0.28903229  0.02069839  0.97257190
psi[8, 2]   0.4555466  0.43172846 0.28409446  0.02201589  0.96741432
psi[9, 2]   0.6618026  0.70472505 0.23555633  0.16017035  0.98731677
psi[10, 2]  0.6669044  0.70536300 0.23229750  0.16668883  0.98837740
psi[11, 2]  0.6714246  0.71281613 0.23191415  0.16123657  0.98801484
psi[12, 2]  0.4478837  0.42675998 0.28291278  0.01638621  0.96592956
psi[13, 2]  0.4427105  0.41573402 0.28297558  0.02082115  0.96403808
psi[14, 2]  0.4748796  0.46834890 0.28624212  0.02495624  0.97452218
psi[15, 2]  0.4618586  0.44157702 0.28783835  0.02056097  0.97040784
psi[16, 2]  0.4800450  0.47036672 0.28910994  0.02419613  0.97180298
psi[17, 2]  0.4649066  0.44185089 0.28782483  0.02032052  0.97099103
psi[18, 2]  0.4756927  0.47106163 0.28645156  0.02280880  0.96806163
psi[19, 2]  0.6670984  0.70572082 0.23192642  0.16540690  0.98360784
psi[20, 2]  0.4599962  0.44463552 0.28471020  0.01981539  0.96445592
psi[21, 2]  0.4612503  0.44548395 0.28200643  0.02096721  0.96123482
psi[22, 2]  0.4710265  0.45124741 0.29018068  0.02132244  0.97082238
psi[23, 2]  0.4443802  0.42203492 0.28534089  0.01784039  0.96182157
psi[24, 2]  0.4475772  0.42411828 0.28438678  0.01870007  0.96311129
psi[25, 2]  0.4381431  0.40827563 0.28227984  0.01609545  0.95643940
psi[26, 2]  0.5087717  0.51499406 0.28920571  0.02572531  0.96756588
psi[27, 2]  0.4509754  0.43238612 0.28259720  0.02134855  0.96511036
psi[28, 2]  0.4400744  0.40747954 0.28504188  0.01502500  0.96895824
psi[29, 2]  0.4606966  0.43779262 0.28788817  0.01964477  0.97213117
psi[30, 2]  0.6638333  0.70516156 0.23307207  0.15844592  0.98302746
psi[31, 2]  0.4790533  0.46847892 0.29214153  0.02024718  0.97809780
psi[32, 2]  0.4767520  0.46962784 0.28977961  0.02149415  0.97190535
psi[33, 2]  0.4683650  0.45347350 0.28920271  0.02107198  0.96539832
psi[34, 2]  0.4667263  0.45265798 0.28594669  0.02262872  0.96212845
psi[35, 2]  0.4563304  0.43539538 0.28592068  0.02186292  0.96638434
psi[36, 2]  0.4681991  0.45354060 0.28721678  0.02279050  0.96657362
psi[37, 2]  0.4712253  0.45673496 0.28480775  0.02243368  0.97142366
psi[38, 2]  0.4766810  0.46593575 0.28674568  0.02149862  0.97257383
psi[39, 2]  0.6648240  0.70611049 0.23659383  0.15975091  0.98731098
psi[40, 2]  0.4860513  0.47682214 0.29242626  0.02235768  0.97321370
psi[41, 2]  0.4756192  0.45988637 0.28951134  0.02266776  0.96683893
psi[42, 2]  0.4305823  0.39468968 0.28668324  0.01570048  0.95886728
psi[43, 2]  0.4619167  0.44359873 0.28671390  0.02419201  0.96309469
psi[44, 2]  0.4655376  0.44745069 0.28789611  0.01905381  0.96646631
psi[45, 2]  0.4601374  0.44522403 0.28755747  0.02168108  0.96411149
psi[46, 2]  0.4661166  0.44604472 0.28606661  0.02113457  0.96750421
psi[47, 2]  0.4506985  0.42515213 0.28246817  0.02228312  0.96565360
psi[48, 2]  0.4793477  0.46797688 0.28747536  0.02103886  0.97273820
psi[49, 2]  0.4665509  0.44947172 0.28900027  0.02234849  0.97550464
psi[50, 2]  0.4814920  0.46917184 0.28761744  0.02315027  0.97617054
psi[51, 2]  0.4665145  0.44638828 0.28826366  0.02020025  0.97565289
psi[52, 2]  0.4706465  0.45867941 0.28970612  0.01455766  0.97121697
psi[53, 2]  0.4690256  0.45221534 0.28765548  0.02111104  0.96885315
psi[54, 2]  0.4581983  0.43729867 0.28411816  0.02190265  0.96267125
psi[55, 2]  0.4760011  0.46452723 0.28672244  0.02517629  0.97098811
psi[56, 2]  0.4609302  0.44479252 0.28359078  0.02081235  0.96330424
psi[57, 2]  0.4438261  0.41707362 0.28493917  0.01895521  0.96866632
psi[58, 2]  0.4647646  0.44416737 0.28723071  0.02089580  0.97075280
psi[59, 2]  0.4670670  0.44871037 0.28571266  0.02328098  0.96800990
psi[60, 2]  0.4750974  0.46435863 0.29220601  0.01891423  0.97707000
psi[61, 2]  0.4955136  0.48657485 0.28899216  0.02727150  0.97792050
psi[62, 2]  0.4540520  0.42716994 0.28559923  0.01852682  0.96372299
psi[63, 2]  0.4888051  0.48450029 0.28551719  0.02550378  0.96870671
psi[64, 2]  0.4884278  0.47970002 0.28983400  0.02599846  0.97260589
psi[65, 2]  0.4738100  0.45863304 0.28425899  0.02634455  0.97314256
psi[66, 2]  0.4668797  0.45432499 0.28663720  0.01841255  0.96796205
psi[67, 2]  0.4488413  0.42139716 0.28488874  0.01653607  0.96528659
psi[68, 2]  0.4636881  0.44510086 0.28322351  0.01905092  0.96233189
psi[69, 2]  0.4807009  0.46606014 0.28922815  0.02548753  0.97778759
psi[70, 2]  0.4968800  0.49407760 0.29217646  0.01881682  0.97708429
psi[71, 2]  0.4863300  0.46965375 0.29011584  0.02050741  0.97470556
psi[72, 2]  0.4488765  0.42360249 0.28529557  0.01960575  0.96568391
psi[73, 2]  0.4685791  0.45711756 0.28624252  0.01937741  0.96368972
psi[74, 2]  0.4416275  0.41539183 0.27827767  0.02013477  0.96361957
psi[75, 2]  0.4363588  0.40918775 0.28109151  0.01693331  0.95928208
psi[1, 3]   0.4724736  0.45860659 0.28772161  0.01938642  0.97040463
psi[2, 3]   0.6662521  0.70512860 0.23561249  0.17050723  0.98679971
psi[3, 3]   0.4623509  0.44194657 0.29254491  0.01978397  0.97539660
psi[4, 3]   0.4677502  0.45196126 0.28927106  0.02267686  0.97009730
psi[5, 3]   0.4541172  0.42811796 0.28495299  0.01820185  0.96211709
psi[6, 3]   0.4543932  0.43393821 0.28682502  0.01757223  0.97613827
psi[7, 3]   0.6744502  0.71359989 0.23451795  0.17186110  0.98821673
psi[8, 3]   0.4589360  0.43781256 0.28961415  0.02128181  0.96751401
psi[9, 3]   0.4500857  0.42645741 0.28366899  0.01760266  0.97163637
psi[10, 3]  0.6664945  0.70749120 0.23491958  0.16334722  0.98855672
psi[11, 3]  0.6633707  0.70393621 0.23719455  0.16102231  0.98554282
psi[12, 3]  0.4473226  0.41527684 0.28422983  0.02023538  0.96786223
psi[13, 3]  0.6677900  0.70539826 0.23435222  0.16230173  0.98812377
psi[14, 3]  0.6764115  0.71721913 0.23268592  0.16231059  0.98672322
psi[15, 3]  0.4670376  0.45089158 0.28805961  0.02167874  0.97067214
psi[16, 3]  0.4712522  0.45113734 0.28524302  0.02517279  0.97248117
psi[17, 3]  0.4739854  0.46506900 0.28612710  0.01969177  0.97293991
psi[18, 3]  0.4588446  0.43218816 0.28847830  0.02126271  0.97017798
psi[19, 3]  0.6625876  0.69872706 0.23596532  0.15782024  0.98873791
psi[20, 3]  0.4597027  0.44310300 0.28660487  0.01862538  0.96713611
psi[21, 3]  0.4673134  0.45050873 0.28757613  0.01967430  0.96964969
psi[22, 3]  0.4666026  0.44999819 0.28689984  0.02232471  0.97272672
psi[23, 3]  0.4373717  0.41077008 0.28034391  0.02008187  0.95207299
psi[24, 3]  0.4526674  0.43218290 0.28444196  0.01676724  0.96772908
psi[25, 3]  0.4338660  0.40322422 0.28067420  0.01751712  0.95642843
psi[26, 3]  0.4958202  0.49580050 0.29016371  0.02689447  0.97230338
psi[27, 3]  0.4479559  0.42095950 0.28199519  0.02068345  0.96203531
psi[28, 3]  0.4426573  0.41418933 0.28081218  0.01923759  0.95959725
psi[29, 3]  0.4737306  0.46015195 0.29021945  0.01646740  0.97010603
psi[30, 3]  0.4588509  0.44065034 0.28737238  0.01696791  0.96900955
psi[31, 3]  0.6639291  0.70339582 0.23476010  0.16184297  0.98655663
psi[32, 3]  0.4721442  0.45748288 0.29105050  0.01774184  0.97188260
psi[33, 3]  0.6657975  0.70693716 0.23456745  0.16362880  0.98891790
psi[34, 3]  0.4870019  0.48640328 0.28417527  0.02355660  0.96902086
psi[35, 3]  0.6673897  0.71452653 0.23726120  0.14731243  0.98635689
psi[36, 3]  0.4736665  0.46161499 0.29005594  0.02173232  0.97831603
psi[37, 3]  0.6648777  0.70436357 0.23504030  0.15601802  0.98666283
psi[38, 3]  0.4659017  0.45928478 0.28489074  0.01890316  0.96579653
psi[39, 3]  0.6591752  0.69592333 0.23712485  0.16048837  0.98825033
psi[40, 3]  0.4691113  0.45555948 0.28211148  0.02535745  0.96880238
psi[41, 3]  0.4774274  0.46932139 0.29152764  0.02161391  0.97038956
psi[42, 3]  0.4477470  0.42547987 0.28742379  0.01559327  0.96392684
psi[43, 3]  0.4734270  0.46438431 0.28641042  0.01835345  0.96787929
psi[44, 3]  0.4729698  0.46148832 0.29066133  0.02258926  0.97332089
psi[45, 3]  0.4723822  0.46390226 0.28934517  0.02114183  0.96810258
psi[46, 3]  0.4651280  0.44840805 0.28645238  0.02009454  0.96522737
psi[47, 3]  0.4728690  0.46239021 0.28888986  0.02016241  0.97162392
psi[48, 3]  0.6775751  0.72115894 0.23376263  0.16007085  0.98867929
psi[49, 3]  0.4745640  0.46601036 0.28245646  0.02123264  0.96722915
psi[50, 3]  0.4679597  0.45090788 0.28444257  0.02462490  0.97208805
